"axis","gene_set","rank"
"triplet_pairs","expressed_TRUE",1439
"triplet_pairs","expressed_TRUE",1441
"triplet_pairs","expressed_TRUE",1442
"triplet_pairs","expressed_TRUE",1443
"triplet_pairs","expressed_TRUE",1447
"triplet_pairs","expressed_TRUE",1448
"triplet_pairs","expressed_TRUE",1451
"triplet_pairs","expressed_TRUE",1453
"triplet_pairs","expressed_TRUE",1454
"triplet_pairs","expressed_TRUE",1456
"triplet_pairs","expressed_TRUE",1457
"triplet_pairs","expressed_TRUE",1458
"triplet_pairs","expressed_TRUE",1459
"triplet_pairs","expressed_TRUE",1461
"triplet_pairs","expressed_TRUE",1465
"triplet_pairs","expressed_TRUE",1467
"triplet_pairs","expressed_TRUE",1471
"triplet_pairs","expressed_TRUE",1472
"triplet_pairs","expressed_TRUE",1474
"triplet_pairs","expressed_TRUE",1476
"triplet_pairs","expressed_TRUE",1483
"triplet_pairs","expressed_TRUE",1489
"triplet_pairs","expressed_TRUE",1497
"triplet_pairs","expressed_TRUE",1498
"triplet_pairs","expressed_TRUE",1504
